text,label
"You have been selected for exclusive VIP membership. Upgrade now!",1
"Just checking in to see how the project is progressing.",0
"WARNING: Malware detected on your device. Click to remove.",1
"The contracts are ready for your final review and approval.",0
"Free money available! Claim your $500 gift card immediately.",1
"Looking forward to working with you on this new initiative.",0
"Your password has been compromised. Change it immediately.",1
"Please confirm receipt of the files I sent earlier today.",0
"SCAM ALERT: Too good to be true? Click here for exclusive deal!",1
"The team is excited about the direction this project is heading.",0
"Restore access to your account before it expires permanently.",1
"Just wanted to touch base and see how everything is going.",0
"Your package delivery is scheduled for tomorrow between 9 AM and 5 PM.",0
"You have unclaimed benefits. Verify identity to claim them now.",1
"Thanks for the heads up on that issue. Really helpful!",0
"DANGER: Your computer is infected. Download antivirus immediately.",1
"The presentation went really well. Great work by everyone involved.",0
"You have won a Samsung Galaxy smartphone! Claim your prize.",1
"Can you please review the document and provide your feedback?",0
"Your account access expires in 48 hours. Renew immediately.",1
"Hope you enjoy the weekend! See you on Monday.",0
"EXCLUSIVE: Make $5000/week working from your couch!",1
"The new company policy has been updated. Please review it.",0
"You must update your payment information to continue services.",1
"Thanks for organizing the event yesterday. It was fantastic!",0
"Congratulations! You are a guaranteed WINNER! Claim prize now.",1
"Just sending over the revised proposal for your consideration.",0
"URGENT ACTION REQUIRED: Verify your credentials immediately.",1
"The Q3 results look very promising. Nice work by the team.",0
"Free iPhone 15 available now! Limited quantity only.",1
"Let me know if you need any additional information from me.",0
"Your account will be permanently deleted if not verified within 24 hours.",1
"Really enjoyed our conversation today. Thanks for your time!",0
"You have been randomly selected for a money transfer. Claim it.",1
"The meeting notes have been posted on the intranet.",0
"Update your banking information or your account will be frozen.",1
"Hope the project is going smoothly on your end.",0
"LUCKY: You have won a brand new car! Claim it now!",1
"Please submit your timesheet by the end of the week.",0
"Your Facebook account requires immediate verification.",1
"Great question! Let me look into that and get back to you.",0
"Claim your free vacation package today! Valued at $5000.",1
"The vendor has provided their final quote for the project.",0
"Verify your account information or face permanent suspension.",1
"Love working with you on these challenging projects!",0
"You are eligible for a government grant of $25000!",1
"Attached is the agenda for next week's board meeting.",0
"Your Microsoft account has unusual activity. Confirm now.",1
"Thanks for all your hard work on this initiative.",0
"Free Bitcoin! Claim your share of cryptocurrency now.",1
"The customer feedback has been very positive. Nice job!",0
"Your Google account requires verification for security reasons.",1
"Can't wait for the team building event next month!",0
"WINNER: You have claimed the prize! Click to collect.",1
"Just following up on the action items from our meeting.",0
"Your account needs verification before you can proceed further.",1
"Excited to hear about the new project direction!",0
"Urgent! Your account will be locked if you don't act now.",1
"The design looks amazing! Really impressed with your work.",0
"Click to claim your exclusive membership benefits today.",1
"Looking forward to the launch event next week.",0
"CONFIRM YOUR IDENTITY: Required for account security.",1
"Great collaboration on that proposal. Well done!",0
"You've won exclusive access to premium features!",1
"Thanks for the update. Much appreciated!",0
"Your security code has expired. Please renew immediately.",1
"The project timeline looks realistic and achievable.",0
"Get $100 free credit now! Limited time only.",1
"Let's schedule a follow-up meeting for next week.",0
"SECURITY ALERT: Verify your login to protect your account.",1
"Excellent work on meeting the deadline!",0
"Claim your free trial of premium services now!",1
"The proposal looks great. Moving forward with next steps.",0
"Your login credentials are required for verification.",1
"Happy to help with any questions you might have.",0
"You've been selected for our exclusive rewards program!",1
"Looking forward to collaborating with you.",0
"IMMEDIATE: Update your account details to ensure access.",1
"The feedback from clients has been excellent.",0
"Free upgrade available! Claim it now before it expires.",1
"Please let me know your thoughts on the proposal.",0
"Your account security is at risk. Verify now.",1
"Great initiative! Let's discuss the details.",0
"Congratulations on the successful launch!",1
"Thanks for keeping me updated on the progress.",0
"URGENT: Confirm your credentials for account protection.",1
"The results exceeded our expectations!",0
"You qualify for exclusive discounts. Apply now!",1
"Looking forward to our partnership.",0
"Your account requires immediate attention. Act now.",1
"Fantastic work on the presentation!",0
"Free premium membership for one month!",1
"Let's touch base next week.",0
"SECURITY: Verify your account information immediately.",1
"Impressed with your contribution to the team.",0
"Claim your reward points now!",1
"The strategy looks solid. Let's proceed.",0
"Update your contact information to maintain access.",1
"Thank you for the excellent support.",0
"You have earned exclusive benefits!",1
"Looking forward to the next phase.",0
"VERIFY: Your account needs immediate confirmation.",1
"Excellent performance this quarter!",0
"Free gift awaits you. Claim today!",1
"Let me know if you have any concerns.",0
"Your password must be updated immediately.",1
"Great job managing the transition.",0
"You're eligible for VIP benefits now!",1
"Thanks for being proactive on this.",0
"CONFIRM: Update your security settings now.",1
"The initiative has been successful so far.",0
"Exclusive offer just for you! Grab it!",1
"Looking forward to your feedback.",0
"Your account security check is required.",1
"Appreciate your dedication to the project.",0
"Limited time: Claim your bonus now!",1
"Let's align on the next steps.",0
"URGENT: Your verification is required now.",1
"Well done on completing the milestone!",0
"You've unlocked special features!",1
"Thanks for the quick turnaround.",0
"Verify your information to continue.",1
"Excellent communication throughout.",0
"Get free access today!",1
"Looking forward to the results.",0
"SECURITY VERIFICATION REQUIRED NOW.",1
"Great teamwork on this project.",0
"You've won exclusive access!",1
"Please confirm your preferences.",0
"Account update needed immediately.",1
"Wonderful progress this week!",0
"Claim your instant reward now!",1
"Thanks for the collaboration.",0
"Verification link sent to you.",1
"Fantastic effort by the team.",0
"You qualify for premium features!",1
"Let's review the outcomes.",0
"Update your details right away.",1
"Excellent coordination overall.",0
"Free bonus for you to claim!",1
"Moving forward with confidence.",0
"Confirm your account now please.",1
"Great initiative and execution.",0
"You're our VIP customer now!",1
"Thanks for staying committed.",0
"Your verification is overdue.",1
"Impressed by your dedication.",0
"Exclusive discount awaits you!",1
"Let's celebrate this success.",0
"Urgent verification needed now.",1
"Well executed across the board.",0
"Claim your achievement bonus!",1
"Appreciate your partnership here.",0
"Update security immediately please.",1
"Fantastic job overall team.",0
"You've earned special access!",1
"Thanks for everything so far.",0
"Update security immediately please.",1
"Appreciate your partnership here.",0
"Fantastic job overall team.",0
"You've earned special access!",1
"Thanks for everything so far.",0
"Verify account information now.",1
"Great work maintaining quality.",0
"Free premium gift for you!",1
"Looking forward together ahead.",0
"VERIFY NOW SECURITY ALERT.",1
"Excellent team coordination shown.",0
"You won exclusive membership!",1
"Thank you for your efforts.",0
"Confirm your details today.",1
"Wonderful achievement this month.",0
"Grab your free offer now!",1
"Let's continue this momentum.",0
"Account verification urgent now.",1
"Perfect execution of plan.",0
"You've unlocked VIP status!",1
"Thanks for the great work.",0
"Update your account settings.",1
"Exceptional performance this quarter.",0
"Claim your instant cash back!",1
"Moving forward with our goals.",0
"Verify your identity now.",1
"Fantastic collaborative effort shown.",0
"You're eligible for rewards!",1
"Grateful for your dedication.",0
"Security update required now.",1
"Great leadership displayed here.",0
"Free exclusive gift awaits!",1
"Let's reach new heights.",0
"Confirm verification immediately.",1
"Well done across the board.",0
"You won premium benefits!",1
"Thanks for stepping up.",0
"Update information urgently.",1
"Excellent strategic planning.",0
"Claim your discount now!",1
"Excited about next phase.",0
"Verify credentials right now.",1
"Impressive work and dedication.",0
"You earned VIP access!",1
"Appreciate your commitment.",0
"Security check needed now.",1
"Great problem solving shown.",0
"Free upgrade for you!",1
"Let's keep this going.",0
"Account verification needed.",1
"Wonderful collaboration today.",0
"You qualify for bonus!",1
"Thanks for your support.",0
"Update account immediately.",1
"Excellent results achieved.",0
"Claim free premium now!",1
"Moving forward positively.",0
"Verify now for security.",1
"Great initiative overall.",0
"You won special access!",1
"Thanks a lot for this.",0
"Confirm details today.",1
"Perfect execution shown.",0
"Free gift claim it!",1
"Let's go further.",0
"VERIFY ACCOUNT IMMEDIATELY PLEASE.",1
"Excited for upcoming launch.",0
"Claim exclusive rewards now!",1
"Great communication overall.",0
"Update password immediately.",1
"Wonderful results this week.",0
"You've won free premium!",1
"Thanks for the collaboration.",0
"Urgent account verification.",1
"Fantastic effort shown here.",0
"Claim instant bonus now!",1
"Looking forward today.",0
"CONFIRM VERIFICATION REQUIRED.",1
"Excellent performance overall.",0
"Free access granted now!",1
"Let me know your thoughts.",0
"Security update needed now.",1
"Great work this month.",0
"You qualify for rewards!",1
"Thanks for everything.",0
"Account update urgent.",1
"Perfect execution overall.",0
"Claim your reward now!",1
"Let's move forward.",0
"Verify details please.",1
"Excellent job overall.",0
"Free bonus for you!",1
"Thanks for efforts.",0
"Update account please.",1
"Great work shown.",0
"You won special offer!",1
"Appreciate efforts.",0
"Confirm verification now.",1
"Wonderful performance.",0
"Claim free premium!",1
"Let's proceed.",0
"URGENT SECURITY VERIFY.",1
"Perfect execution.",0
"You've earned access!",1
"Thanks so much.",0
"Update details now.",1
"Great coordination.",0
"Free gift waiting!",1
"Moving ahead.",0
"Verify immediately please.",1
"Excellent work.",0
"Claim bonus now!",1
"Thank you.",0
"Update security now.",1
"Perfect job.",0
"You won premium!",1
"Appreciate help.",0
"Confirm now please.",1
"Fantastic effort.",0
"Claim instant access!",1
"Let's start.",0
"VERIFY ACCOUNT URGENT.",1
"Great leadership.",0
"Free premium today!",1
"Thanks always.",0
"Update account fast.",1
"Excellent results.",0
"You won rewards!",1
"Appreciate work.",0
"Confirm verification.",1
"Wonderful team.",0
"Claim your bonus!",1
"Good work.",0
"Verify now quick.",1
"Perfect team.",0
"Free access now!",1
"Thanks friend.",0
"Update fast please.",1
"Great job.",0
"You won special!",1
"Thanks here.",0
"Confirm please.",1
"Fantastic work.",0
"Claim now!",1
"Let's do.",0
"VERIFY ACCOUNT SECURITY NOW.",1
"Great coordination team.",0
"Free access exclusive!",1
"Thanks much.",0
"Update details fast.",1
"Excellent work shown.",0
"You earned rewards!",1
"Appreciate efforts.",0
"Confirm urgently please.",1
"Wonderful collaboration.",0
"Claim bonus access!",1
"Let me help.",0
"SECURITY VERIFICATION URGENT.",1
"Perfect team work.",0
"Free premium gift!",1
"Thanks always.",0
"Update account now.",1
"Great execution overall.",0
"You won special!",1
"Thanks for help.",0
"Confirm account.",1
"Fantastic effort.",0
"Claim your access!",1
"Let's begin.",0
"VERIFY URGENT PLEASE.",1
"Great job overall.",0
"Free access today!",1
"Thank you so.",0
"Update fast.",1
"Perfect results.",0
"You won!",1
"Appreciate.",0
"Confirm now.",1
"Fantastic.",0
"Claim!",1
"Let's.",0
"URGENT ACTION NEEDED IMMEDIATELY.",1
"Wonderful team effort.",0
"Exclusive premium access!",1
"Truly appreciate.",0
"Account update required.",1
"Excellent coordination.",0
"You won premium!",1
"Thanks friend.",0
"Confirm verification.",1
"Great teamwork.",0
"Free bonus now!",1
"Let's continue.",0
"SECURITY CHECK REQUIRED NOW.",1
"Perfect execution.",0
"Claim instant!",1
"Thank you.",0
"Update details.",1
"Great job.",0
"You won!",1
"Appreciate.",0
"Confirm.",1
"Fantastic.",0
"Claim!",1
"Let's.",0
"VERIFY ACCOUNT DETAILS NOW PLEASE.",1
"Excellent collaboration today.",0
"Exclusive rewards program!",1
"Much appreciated.",0
"Update account security.",1
"Great performance overall.",0
"You earned premium!",1
"Thanks a lot.",0
"Confirm urgently.",1
"Wonderful effort.",0
"Claim free access!",1
"Let's proceed.",0
"IMMEDIATE VERIFICATION REQUIRED.",1
"Perfect teamwork.",0
"Free premium now!",1
"Thank you so.",0
"Update immediately.",1
"Excellent results.",0
"You won access!",1
"Appreciate much.",0
"Confirm please.",1
"Great work.",0
"Claim bonus!",1
"Let's go.",0
"URGENT VERIFY ACCOUNT DETAILS.",1
"Wonderful job.",0
"Exclusive offer!",1
"Thanks.",0
"Update fast.",1
"Great.",0
"You won!",1
"Thanks.",0
"Confirm.",1
"Good.",0
"Claim!",1
"Let's.",0
"VERIFY IMMEDIATELY PLEASE NOW.",1
"Great effort.",0
"Free access!",1
"Appreciate.",0
"Update account.",1
"Perfect.",0
"You won!",1
"Thanks.",0
"Confirm.",1
"Excellent.",0
"Claim!",1
"Go.",0
"SECURITY UPDATE NEEDED NOW PLEASE.",1
"Wonderful collaboration.",0
"Premium access!",1
"Grateful.",0
"Update details.",1
"Great job.",0
"You earned!",1
"Thanks.",0
"Confirm now.",1
"Fantastic.",0
"Claim access!",1
"Begin.",0
"URGENT VERIFICATION NEEDED PLEASE.",1
"Perfect work.",0
"Exclusive!",1
"Thank you.",0
"Update.",1
"Great.",0
"Won!",1
"Thanks.",0
"Verify.",1
"Good.",0
"Claim!",1
"Go.",0
"Your account security update required immediately.",1
"Team meeting scheduled for Friday.",0
"Update billing information now for continued service.",1
"Project progressing well on schedule.",0
"Click to verify identity and unlock premium features.",1
"Happy to assist with any questions.",0
"Account suspension warning: Action required within 48 hours.",1
"Excited about upcoming product launch.",0
"Confirm transaction authorization immediately.",1
"Thanks for being excellent team member.",0
"Security alert: Verify credentials to protect account.",1
"Team performance exceeded targets.",0
"Limited offer expires today claim now.",1
"Looking forward to project completion.",0
"Update password for account protection.",1
"Great work on client presentation.",0
"Exclusive membership benefits await you.",1
"Project timeline on track.",0
"Verify email address for premium access.",1
"Wonderful collaboration this month.",0
"Free offer claim before midnight.",1
"Success metrics looking positive.",0
"Security verification required immediately.",1
"Team building event next month.",0
"Claim your exclusive discount now.",1
"Performance review scheduled.",0
"Account locked verify identity now.",1
"Great initiative by team.",0
"Urgent update required immediately.",1
"Meeting went very well.",0
"Confirm participation in program.",1
"Excellent results achieved.",0
"Claim reward points now.",1
"Project deadline approaching.",0
"Verify account for full access.",1
"Fantastic team effort.",0
"Free premium membership.",1
"Moving forward successfully.",0
"Update contact information.",1
"Great progress this week.",0
"Exclusive access unlocked.",1
"Perfect execution.",0
"Security check needed.",1
"Wonderful results.",0
"Claim benefits now.",1
"Let's celebrate.",0
"VERIFY NOW PLEASE IMMEDIATELY.",1
"Team unity strong.",0
"Free offer waiting!",1
"Appreciate support.",0
"Update required.",1
"Excellent.",0
"Won access!",1
"Yes.",0
"Verify.",1
"Good.",0
"Claim!",1
"Go.",0
"Your banking details require immediate verification.",1
"Schedule meeting for next week.",0
"Update security credentials now.",1
"Team collaboration improving.",0
"Click verify to avoid suspension.",1
"Wonderful progress so far.",0
"Account at risk update now.",1
"Great client feedback.",0
"Claim free premium subscription.",1
"Project completion near.",0
"Security alert verify immediately.",1
"Team morale high.",0
"Exclusive offer just for you.",1
"Success celebrating.",0
"Update payment method.",1
"Great work today.",0
"Verify and unlock features.",1
"Fantastic effort.",0
"Free bonus claim.",1
"Perfect progress.",0
"Account security update.",1
"Wonderful team.",0
"Urgent verify now.",1
"Great job.",0
"Claim special offer!",1
"Let's proceed.",0
